CH0_i_,CH0_q_
0.002747252747253,0.003052503052503
0.021978021978022,0.024114774114774
0.041208791208791,0.042735042735043
0.061050061050061,0.063492063492063
0.078144078144078,0.080586080586081
0.096459096459096,0.097680097680098
0.111416361416361,0.114163614163614
0.126984126984127,0.130036630036630
0.140415140415140,0.144383394383394
0.154761904761905,0.157509157509158
0.164529914529915,0.168192918192918
0.175518925518926,0.179487179487179
0.182844932844933,0.188034188034188
0.188949938949939,0.192307692307692
0.192918192918193,0.197802197802198
0.196275946275946,0.198717948717949
0.195970695970696,0.200549450549451
0.195360195360195,0.198412698412698
0.190781440781441,0.195360195360195
0.187728937728938,0.189865689865690
0.180402930402930,0.184676434676435
0.171855921855922,0.177045177045177
0.161477411477411,0.164835164835165
0.149572649572650,0.152625152625153
0.133699633699634,0.140109890109890
0.121794871794872,0.124847374847375
0.105006105006105,0.109584859584860
0.089438339438339,0.092185592185592
0.071733821733822,0.074481074481074
0.054029304029304,0.055555555555556
0.034493284493284,0.036935286935287
0.014652014652015,0.016788766788767
-0.006105006105006,-0.003357753357753
-0.024725274725275,-0.020757020757021
-0.043040293040293,-0.041514041514042
-0.061660561660562,-0.059218559218559
-0.080891330891331,-0.078144078144078
-0.098290598290598,-0.095238095238095
-0.114774114774115,-0.111721611721612
-0.129426129426129,-0.127289377289377
-0.144383394383394,-0.141330891330891
-0.157203907203907,-0.155067155067155
-0.168498168498169,-0.166666666666667
-0.177045177045177,-0.175518925518926
-0.185592185592186,-0.183455433455433
-0.192002442002442,-0.189255189255189
-0.195360195360195,-0.194444444444444
-0.196886446886447,-0.197496947496947
-0.199023199023199,-0.197191697191697
-0.196886446886447,-0.195665445665446
-0.194444444444444,-0.193833943833944
-0.189255189255189,-0.188339438339438
-0.183455433455433,-0.181318681318681
-0.173992673992674,-0.172771672771673
-0.162393162393162,-0.162698412698413
-0.151709401709402,-0.151098901098901
-0.137973137973138,-0.136752136752137
-0.122100122100122,-0.122100122100122
-0.106837606837607,-0.106837606837607
-0.090354090354090,-0.089438339438339
-0.073870573870574,-0.072039072039072
-0.053113553113553,-0.053418803418803
-0.036630036630037,-0.034493284493284
-0.015873015873016,-0.015262515262515
0.002136752136752,0.003357753357753
0.022588522588523,0.023809523809524
0.041208791208791,0.043040293040293
0.061050061050061,0.062576312576313
0.079365079365079,0.079670329670330
0.096764346764347,0.097680097680098
0.112332112332112,0.115689865689866
0.127594627594628,0.129731379731380
0.141025641025641,0.144383394383394
0.154456654456654,0.157203907203907
0.164529914529915,0.169719169719170
0.176129426129426,0.180097680097680
